Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Crane	Eli		O	AZ02	2024	4/29/2025	10066465
	Crane	Mike		C	GA03	2024	2/9/2024	10056756
Hon.	Crank	Jeff		H	CO05	2024	7/3/2025	10067533
Mr.	Crank	Jeff		C	CO05	2024	5/13/2024	10060579
Hon.	Crank	Jeffrey		X	CO05	2024	5/14/2025	30023603
	Craven	Michael Andrew		D	KY03	2024	4/17/2024	8220215
Hon.	Crawford	Eric A. "Rick"		O	AR01	2024	5/6/2025	10067531
Hon.	Crenshaw	Daniel		O	TX02	2024	5/10/2025	10067491
	Criswell	Jefferson Edward		C	GA06	2024	5/20/2024	10060096
	Crnkovich	Karen		C	KS03	2024	5/20/2024	10061932
Hon.	Crockett	Jasmine		A	TX30	2024	8/13/2025	10072187
Hon.	Crockett	Jasmine		O	TX30	2024	8/13/2025	10066616
Hon.	Crockett	Jasmine		X	TX30	2024	4/23/2025	30022808
Hon.	Crow	Jason		O	CO06	2024	8/13/2025	10066301
Hon.	Crow	Jason		X	CO06	2024	4/18/2025	30022724
	Cruz	Ginger		C	GU00	2024	7/1/2024	10057009
	Cruz	Ginger		X	GU00	2024	5/14/2024	30021425
Mr.	Cruz	Jerico Matias		C	IL05	2024	5/15/2024	10061518
Mr.	Cruz	Jerico Matias		X	IL05	2024	5/17/2024	30021943
	Cruz	Kimberly		W	NY06	2024	5/28/2024	7983
Mr.	Cuddy	Dave		C	TX35	2024	1/31/2024	8220148
Hon.	Cuellar	Henry		O	TX28	2024	5/15/2025	10067642
	Cunningham	Candace L.		D	AZ03	2024	1/16/2024	40003584
Mrs.	Currey-Marsella	Renee Antoinette		C	FL14	2024	5/14/2024	10058808
	Dacosta Fasciglione	Joy		W	NY19	2024	6/6/2024	7985
	Dahan	Liz		C	FL13	2024	6/27/2024	10058998
	Dahan	Liz		X	FL13	2024	5/8/2024	30021135
	Dahlin	Kathryn W.		C	UT03	2024	3/27/2024	10056930
	Dahlstrom	Nancy		C	AK00	2024	4/30/2024	10059429
	Danimus	Ann Marie		C	WA05	2024	5/16/2026	10078688
	Dansel	Brian		C	WA05	2024	7/16/2024	10062477
	Daughtry	Kelly		C	NC13	2024	2/2/2024	8220124
	Davey	Michael		C	FL27	2024	7/20/2024	10062451
	Davey	Michael		X	FL27	2024	5/15/2024	8220344
	Davey	Michael		X	FL27	2024	7/16/2024	30022385
Hon.	Davids	Sharice		O	KS03	2024	5/13/2025	10067108
Hon.	Davidson	Warren		O	OH08	2024	5/14/2025	10067467
	Davie	Matthew		C	OR05	2024	2/27/2024	10056831
	Davis	Chance		C	TX18	2024	4/4/2025	10064649
Hon.	Davis	Danny K.		O	IL07	2024	6/9/2025	10070482
	Davis	Devin Charles		C	LA02	2024	8/26/2024	10062819
Hon.	Davis	Don		O	NC01	2024	8/5/2025	10071969
Hon.	Davis	Don		X	NC01	2024	5/15/2025	8220919
Hon.	Davis	Don		X	NC01	2024	6/2/2025	8221033
	Davis	Lawrence John		C	CO01	2024	4/3/2024	10056961
	Davis	Thomas Eugene		A	TN04	2024	7/1/2024	10062376
	Davis	Thomas Eugene		C	TN04	2024	6/30/2024	10060974
	Davis	Thomas Eugene		X	TN04	2024	5/17/2024	30021669
	Daza-Fernandez	Antonio Miguel		C	GA11	2024	5/15/2024	10060242
	De Franceschi	Vladimir		C	TX26	2024	2/4/2024	10056698
	De Franceschi	Vladimir		X	TX26	2024	2/9/2024	8220138
Hon.	De La Cruz	Monica		O	TX15	2024	8/13/2025	10067135
Hon.	De La Cruz	Monica		X	TX15	2024	5/1/2025	30022990
Hon.	Dean	Madeleine		O	PA04	2024	5/15/2025	10068302
	Deford	William Mac		C	SC01	2024	5/15/2024	10061611
Hon.	DeGette	Diana		O	CO01	2024	6/10/2025	10066794
Hon.	DeGette	Diana		X	CO01	2024	4/27/2025	30022863
	Delaney	April McClain		X	MD06	2024	5/14/2024	30021222
Hon.	Delaney	April McClain		C	MD06	2024	2/25/2025	10060011
Hon.	Delaney	April McClain		H	MD06	2024	8/13/2025	10066122
Hon.	Delaney	April McClain		X	MD06	2024	4/16/2025	30022680
Hon.	DeLauro	Rosa L.		O	CT03	2024	5/13/2025	10067725
Hon.	DelBene	Suzan K.		O	WA01	2024	5/15/2025	10066931
Hon.	DelBene	Suzan K.		P	WA01	2024	1/22/2024	20024317
Hon.	DelBene	Suzan K.		P	WA01	2024	2/5/2024	20024425
Hon.	DelBene	Suzan K.		P	WA01	2024	2/21/2024	20024495
Hon.	DelBene	Suzan K.		P	WA01	2024	3/8/2024	20024581
Hon.	DelBene	Suzan K.		P	WA01	2024	6/10/2024	20025178
Hon.	DelBene	Suzan K.		P	WA01	2024	6/20/2024	20025312
Hon.	DelBene	Suzan K.		P	WA01	2024	7/11/2024	20025379
Hon.	DelBene	Suzan K.		P	WA01	2024	8/6/2024	20025568
Hon.	DelBene	Suzan K.		P	WA01	2024	8/23/2024	20025705
Hon.	DelBene	Suzan K.		P	WA01	2024	9/9/2024	20025768
Hon.	DelBene	Suzan K.		P	WA01	2024	10/4/2024	20025940
Hon.	DelBene	Suzan K.		P	WA01	2024	11/7/2024	20026123
Hon.	DelBene	Suzan K.		P	WA01	2024	11/21/2024	20026238
Hon.	DelBene	Suzan K.		P	WA01	2024	12/23/2024	20026423
	Dellinger	Marcus		C	NC13	2024	7/27/2024	10062554
Hon.	Deluzio	Christopher		O	PA17	2024	4/25/2025	10065678
	Denton	Jake		C	VA02	2024	5/19/2024	10056774
	Denton	Jake		X	VA02	2024	2/21/2024	30019605
Hon.	Desaulnier	Mark		O	CA10	2024	5/6/2025	10067325
Hon.	DesJarlais	Scott		O	TN04	2024	8/8/2025	10072039
Hon.	DesJarlais	Scott		X	TN04	2024	5/15/2025	8220923
Hon.	DesJarlais	Scott		X	TN04	2024	6/2/2025	8221034
	DeSpain	Monique		A	OR04	2024	9/11/2024	10062900
	DeSpain	Monique		C	OR04	2024	5/2/2024	10057767
	Deters	Eric		C	KY04	2024	3/5/2024	10056867
	Deters	Eric		X	KY04	2024	2/7/2024	30019583
	Devoe	Marion		A	VA10	2024	3/26/2024	10056935
	Devoe	Marion		A	VA10	2024	4/14/2024	10057008
	Devoe	Marion		C	VA10	2024	1/28/2024	10056670
	Devoe	Marion		D	VA10	2024	2/1/2024	8220153
	Dexter	Maxine		C	OR03	2024	8/10/2024	10061606
	Dexter	Maxine		X	OR03	2024	5/17/2024	30022005
Hon.	Dexter	Maxine		H	OR03	2024	8/13/2025	10068140
Hon.	Dexter	Maxine		X	OR03	2024	5/12/2025	30023439
Hon.	Diaz-Balart	Mario		O	FL26	2024	5/8/2025	10067368
	Dickson	Gary A.		C	NY26	2024	5/15/2024	10061396
	Diehl	Abigdail		O	MD03	2024	4/12/2024	8220216
	Dimmock	Aaron		C	FL01	2024	5/13/2024	10060703
Hon.	Dingell	Debbie		O	MI06	2024	5/14/2025	10066149
Hon.	Dingell	Debbie		P	MI06	2024	2/15/2024	20024270
Hon.	Dingell	Debbie		P	MI06	2024	5/16/2024	20025056
Hon.	Dingell	Debbie		P	MI06	2024	6/24/2024	20025306
Hon.	Dingell	Debbie		P	MI06	2024	11/9/2024	20026160
	Dixon	Peter		W	CA16	2024	4/23/2024	7941
	Dobson	Caroleene		C	AL02	2024	8/13/2024	10060576
	Dobson	Caroleene		X	AL02	2024	5/14/2024	30021507
Hon.	Doggett	Lloyd		O	TX37	2024	8/12/2025	10066436
Hon.	Doggett	Lloyd		P	TX37	2024	1/8/2024	20024268
Hon.	Doggett	Lloyd		P	TX37	2024	3/5/2024	20024611
Hon.	Doggett	Lloyd		P	TX37	2024	4/9/2024	20024839
Hon.	Doggett	Lloyd		P	TX37	2024	5/6/2024	20024997
Hon.	Doggett	Lloyd		P	TX37	2024	6/5/2024	20025202
Hon.	Doggett	Lloyd		P	TX37	2024	7/3/2024	20025397
Hon.	Doggett	Lloyd		P	TX37	2024	8/5/2024	20025592
Hon.	Doggett	Lloyd		P	TX37	2024	9/9/2024	20025822
Hon.	Doggett	Lloyd		P	TX37	2024	10/10/2024	20026002
Hon.	Doggett	Lloyd		P	TX37	2024	11/5/2024	20026151
Hon.	Doggett	Lloyd		P	TX37	2024	12/4/2024	20026322
Hon.	Doggett	Lloyd		X	TX37	2024	4/21/2025	30022751
	Doherty	Alexandra Jane		C	GA10	2024	5/14/2024	8220321
Hon.	Donalds	Byron		A	FL19	2024	8/13/2026	9116277
Hon.	Donalds	Byron		O	FL19	2024	8/13/2025	10071583
Hon.	Donalds	Byron		P	FL19	2024	11/7/2024	20026099
Hon.	Donalds	Byron		P	FL19	2024	11/8/2024	8220682
Hon.	Donalds	Byron		P	FL19	2024	2/19/2026	8221334
Hon.	Donalds	Byron		X	FL19	2024	5/15/2025	8220917
Hon.	Donalds	Byron		X	FL19	2024	6/2/2025	8221036
	Donnelly	Ryan		C	NH02	2024	5/1/2024	10059489
	Donnelly	Ryan		W		2024		8220308
	Dorris	Clint		W	TX12	2024	4/18/2024	7932
	Dougall	John		C	UT03	2024	3/21/2024	10056759
Dr.	Douglass	Eugene Farley		C	NC02	2024	4/18/2024	10057739
	Downing	Troy		C	MT02	2024	5/14/2024	10060588
Hon.	Downing	Troy		H	MT02	2024	7/14/2025	10068399
Hon.	Downing	Troy		X	MT02	2024	5/13/2025	30023564
	Draves	Mary Frances		C	MI08	2024	6/14/2024	10059957
	Draves	Mary Frances		X	MI08	2024	5/17/2024	30021673
	Dudley	Stephen Paul		C	TX14	2024	2/13/2024	10056772
Hon.	Duncan	Jeff		G	SC03	2024	6/18/2024	8220520
Hon.	Duncan	Jeff		P	SC03	2024	5/23/2024	20000788
	Dunlap	Harry William		C	FL12	2024	5/11/2024	10056865
	Dunn	Harry		C	MD03	2024	4/13/2024	10056829
Ms.	Dunn	Maria		A	TX18	2024	10/3/2024	10063000
Ms.	Dunn	Maria		C	TX18	2024	10/2/2024	10062995
Hon.	Dunn	Neal Patrick MD, Facs		O	FL02	2024	8/13/2025	10066821
Hon.	Dunn	Neal Patrick MD, Facs		X	FL02	2024	4/28/2025	30022872
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	5/22/2024	20025104
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	11/7/2024	20026140
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	12/16/2024	20026250
	Edwards	Amanda		W	TX18	2024	4/18/2024	7929
Hon.	Edwards	Chuck		O	NC11	2024	8/13/2025	10066820
Hon.	Edwards	Chuck		X	NC11	2024	4/28/2025	30022871
Dr.	Edwards	Dana Phillip		C	KY05	2024	7/30/2024	10062562
Dr.	Edwards	Dana Phillip		X	KY05	2024	5/15/2024	8220351
	Ehasz	Ashley		C	PA01	2024	4/30/2024	10059070
Mr.	Ehr	Phil Charles		C	FL28	2024	6/17/2024	10061824
Mr.	Ehr	Phillip Charles		X	FL28	2024	5/17/2024	30022167
Mr.	Eisenheim	Erik Brian		C	WI08	2024	1/8/2025	10063224
Mr.	Eisenheim	Erik Brian		D	WI08	2024	1/29/2025	40003708
	Ekpete Kama	Uloma		A	LA02	2024	6/10/2024	10062183
	Ekpete Kama	Uloma		A	LA02	2024	6/11/2024	10062185
	Ekpete Kama	Uloma		A	LA02	2024	7/9/2024	10062210
	Ekpete Kama	Uloma		A	LA02	2024	8/4/2024	10062610
	Ekpete Kama	Uloma		C	GA14	2024	5/18/2025	10067197
	Ekpete Kama	Uloma		C	LA02	2024	6/10/2024	10062182
Dr.	Ekpete Kama	Uloma Keysha		C	GA13	2024	3/22/2024	10056920
	Elfreth	Sarah Kelly		C	MD03	2024	6/14/2024	10062279
Hon.	Elfreth	Sarah Kelly		A	MD03	2024	10/24/2025	10072675
Hon.	Elfreth	Sarah Kelly		H	MD03	2024	6/13/2025	10067526
Hon.	Elfreth	Sarah Kelly		X	MD03	2024	6/2/2025	8221038
Mr.	Eller	Charles ivey		C	NC10	2024	1/29/2024	10056678
Hon.	Ellzey	John Kevin	Sr	A	TX06	2024	8/13/2026	10081523
Hon.	Ellzey	John Kevin	Sr	O	TX06	2024	8/13/2025	10067015
Hon.	Ellzey	John Kevin	Sr	X	TX06	2024	4/30/2025	30022943
Hon.	Emmer	Thomas Earl	Jr	O	MN06	2024	5/13/2025	8221126
	Engel	Kirsten		C	AZ06	2024	8/9/2024	10059185
	Engel	Kirsten		X	AZ06	2024	4/30/2024	30020948
	Engling	Max		X	IN05	2024	5/17/2024	30021737
Dr.	Enoch	Vanessa		A	OH08	2024	10/31/2024	10063073
Dr.	Enoch	Vanessa		C	OH08	2024	10/31/2024	10063072
Dr.	Enoch	Vanessa L Dr		A	OH08	2024	5/15/2026	10078407
	Erickson	Mike		C	OR06	2024	4/3/2024	10056818
Hon.	Escobar	Veronica		O	TX16	2024	5/11/2025	10066007
Hon.	Espaillat	Adriano		O	NY13	2024	6/13/2025	10068247
Hon.	Espaillat	Adriano		X	NY13	2024	5/13/2025	30023498
	Esposito	Alison		C	NY18	2024	5/11/2024	10060573
Hon.	Estes	Ron		O	KS04	2024	8/11/2025	10068013
Hon.	Estes	Ron		X	KS04	2024	5/12/2025	30023379
	Estrada	Rafael		W	IL17	2024	5/6/2024	7955
	Etchison	Shelane		X	NC09	2024	5/17/2024	30022164
Hon.	Evans	Dwight		A	PA03	2024	5/30/2025	10070337
Hon.	Evans	Dwight		O	PA03	2024	5/14/2025	10068372
Hon.	Evans	Dwight		P	PA03	2024	1/17/2024	20024324
	Evans	Jerry		C	IL11	2024	5/15/2024	10061410
Mr.	Evans	Richard		C	FL26	2024	8/13/2024	10062784
	Evans	Timothy Gabriel Joseph		C	CO08	2024	5/10/2024	10060509
Hon.	Evans	Timothy Gabriel Joseph		A	CO08	2024	5/14/2026	10077900
Hon.	Evans	Timothy Gabriel Joseph		H	CO08	2024	5/13/2025	10067025
Hon.	Ezell	Walter Michael		O	MS04	2024	7/15/2025	10066916
Hon.	Ezell	Walter Michael		X	MS04	2024	4/29/2025	30022910
	Fallick-Wang	Katrina		D	UT04	2024	1/23/2024	40003591
Hon.	Fallon	Patrick		O	TX04	2024	8/13/2025	10067945
Hon.	Fallon	Patrick		X	TX04	2024	5/12/2025	30023342
Dr.	Faparusi	Yomi Fapas		C	TN05	2024	6/9/2024	10062167
Dr.	Farber	Stuart		W	FL09	2024	5/17/2024	7977
	Farber	Stuart Dr		W	FL09	2024	5/10/2024	7959
	Farnham	Elizabeth Rhoads		C	PA13	2024	5/6/2024	10057760
	Fedorchak	Julie		C	ND00	2024	5/12/2024	10056853
Hon.	Fedorchak	Julie		H	ND00	2024	8/2/2025	10067251
Hon.	Fedorchak	Julie		X	ND00	2024	5/15/2025	30023929
Hon.	Feenstra	Randall		A	IA04	2024	1/16/2026	10073219
Hon.	Feenstra	Randall		O	IA04	2024	8/12/2025	10072123
Mr.	Fegler	Scott Michael		C	NJ06	2024	5/3/2024	10056962
	Ferguson	Rodney Stuart		C	VA10	2024	4/5/2024	10056959
	Fernandez	Hilsia Tatiana		C	FL07	2024	5/6/2024	10059854
	Fields	Cleo		A	LA06	2024	5/15/2025	10069053
	Fields	Cleo		A	LA06	2024	5/15/2026	10075765
	Fields	Cleo		A	LA06	2024	5/15/2026	10075772
	Fields	Cleo		C	LA06	2024	8/13/2024	10060316
	Fields	Cleo		H	LA06	2024	5/15/2025	10067751
	Fields	Cleo		X	LA06	2024	5/17/2024	30021885
	Figures	Shomari C.		C	AL02	2024	5/16/2024	10061872
Hon.	Figures	Shomari C.		A	AL02	2024	8/13/2026	10072366
Hon.	Figures	Shomari C.		A	AL02	2024	8/13/2026	10081631
Hon.	Figures	Shomari C.		H	AL02	2024	9/2/2025	10072365
Hon.	Figures	Shomari C.		X	AL02	2024	6/2/2025	8221001
	Filler	Peter Steven		C	TX02	2024	5/14/2024	10061263
	Filler-Corn	Eileen		X	VA10	2024	5/14/2024	30021412
	Fine	Randy		C	FL06	2024	12/29/2024	10063200
	Fine	Randy		X	FL06	2024	2/25/2025	30022460
Hon.	Fine	Randy		H	FL06	2024	8/13/2025	10067009
Hon.	Finstad	Brad		O	MN01	2024	5/20/2025	10068668
Hon.	Finstad	Brad		X	MN01	2024	5/14/2025	30023705
	Finzer	Rylan Zachary		C	OH06	2024	3/5/2024	10056868
Hon.	Fischbach	Michelle		O	MN07	2024	5/15/2025	10068338
Hon.	Fitzgerald	Scott		O	WI05	2024	5/12/2025	10067973
Hon.	Fitzpatrick	Brian		O	PA01	2024	5/13/2025	10067996
Hon.	Fleischmann	Charles J. "Chuck"		A	TN03	2024	10/21/2025	9115694
Hon.	Fleischmann	Charles J. "Chuck"		O	TN03	2024	5/5/2025	8221130
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	2/9/2024	8220147
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	5/15/2024	8220317
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	8/16/2024	8220617
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	11/12/2024	8220683
Hon.	Fletcher	Elizabeth		O	TX07	2024	8/11/2025	10067427
Hon.	Fletcher	Elizabeth		X	TX07	2024	5/6/2025	30023100
Hon.	Flood	Mike		O	NE01	2024	8/11/2025	10067729
Hon.	Flood	Mike		X	NE01	2024	5/8/2025	30023221
	Flora	Deborah		C	CO04	2024	8/13/2024	10059153
	Flora	Deborah		X	CO04	2024	4/30/2024	30020957
	Flora	John		D	NJ10	2024	6/12/2024	40003669
Hon.	Flores	Mayra Nohemi		C	TX34	2024	8/6/2024	10059585
Hon.	Flores	Mayra Nohemi		X	TX34	2024	5/8/2024	30021082
	Focht	Cyril Jason		C	TN06	2024	5/13/2024	10060214
	Fong	Vince		X	CA20	2024	4/30/2024	30020884
Hon.	Fong	Vince		C	CA20	2024	8/13/2025	10059000
Hon.	Fong	Vince		O	CA20	2024	8/13/2025	10071961
Hon.	Fong	Vince		X	CA20	2024	5/15/2025	8220933
Hon.	Fong	Vince		X	CA20	2024	6/2/2025	8221042
	Fore	Jessica Allison		C	GA10	2024	5/15/2024	10057717
	Forte	Tina		C	NY14	2024	5/6/2024	10059921
Hon.	Foster	Bill William		O	IL11	2024	4/28/2025	10066184
Hon.	Foushee	Valerie		O	NC04	2024	5/14/2025	10067437
	Fox	Whitney		C	FL13	2024	8/13/2024	10062748
Hon.	Foxx	Virginia		O	NC05	2024	5/15/2025	10067447
Hon.	Foxx	Virginia		P	NC05	2024	1/4/2024	20024230
Hon.	Foxx	Virginia		P	NC05	2024	2/5/2024	20024424
Hon.	Foxx	Virginia		P	NC05	2024	3/7/2024	20024596
Hon.	Foxx	Virginia		P	NC05	2024	4/10/2024	20024825
Hon.	Foxx	Virginia		P	NC05	2024	5/6/2024	20024996
Hon.	Foxx	Virginia		P	NC05	2024	6/6/2024	20025200
Hon.	Foxx	Virginia		P	NC05	2024	8/6/2024	20025588
Hon.	Foxx	Virginia		P	NC05	2024	9/4/2024	20025771
Hon.	Foxx	Virginia		P	NC05	2024	10/21/2024	20026032
Hon.	Foxx	Virginia		P	NC05	2024	11/12/2024	20026124
Hon.	Foxx	Virginia		P	NC05	2024	12/11/2024	20026376
	Frangie	Charles		C	MI11	2024	5/26/2024	10061980
Hon.	Frankel	Lois		O	FL22	2024	5/15/2025	10066434
Hon.	Frankel	Lois		P	FL22	2024	5/14/2024	20025035
Hon.	Franklin	C. Scott		P	FL18	2024	4/23/2024	20024916
Hon.	Franklin	C. Scott		P	FL18	2024	6/2/2024	20025170
Hon.	Franklin	C. Scott		P	FL18	2024	8/20/2024	20025711
Hon.	Franklin	C. Scott		P	FL18	2024	10/15/2024	20026020
Hon.	Franklin	Scott Mr		X	FL18	2024	5/13/2025	30023550
Hon.	Franklin	Scott Scott		O	FL18	2024	7/31/2025	10066628
	Franks	Trent		C	AZ08	2024	6/15/2024	8220513
	Franz	Hilary		C	WA06	2024	5/15/2024	10060601
	Franzese	Daniel John		A	FL22	2024	6/9/2024	10062168
	Franzese	Daniel John		C	FL22	2024	6/8/2024	10060159
	Franzese	Daniel John		X	FL22	2024	5/14/2024	30021299
	Frascone	Anthony		D	NY17	2024	5/14/2024	8220323
	Fratto	John Robert		C	FL26	2024	6/17/2024	8220514
	Fratto	Mario		C	NY24	2024	5/15/2024	10061568
	Freeman	Sarah		C	TN08	2024	9/22/2024	10062948
	Freeman	Sean		C	OH11	2024	5/12/2024	10060664
	Friedman	Laura		C	CA30	2024	8/6/2024	10059948
	Friedman	Laura		X	CA30	2024	5/14/2024	30021196
Hon.	Friedman	Laura		A	CA30	2024	5/5/2026	10076422
Hon.	Friedman	Laura		A	CA30	2024	5/5/2026	10076423
Hon.	Friedman	Laura		H	CA30	2024	5/9/2025	10066927
	Frisch	Adam		C	CO03	2024	7/31/2024	10057720
	Frisch	Adam		X	CO03	2024	4/23/2024	30019828
Hon.	Frost	Maxwell Alejandro		O	FL10	2024	5/13/2025	10068347
Hon.	Fry	Russell		O	SC07	2024	8/11/2025	10067656
Hon.	Fry	Russell		X	SC07	2024	5/8/2025	30023196
Hon.	Fulcher	Russ		O	ID01	2024	5/14/2025	10068143
	Fulton	Seth		W	TN02	2024	5/23/2024	7980
	Furman	Jay Commander		X	TX28	2024	5/15/2024	8220358
Mr.	Gaffney	Kevin James		C	FL01	2024	12/29/2024	10063209
	Galan-Woods	Marlene		C	AZ01	2024	6/29/2024	10059057
	Galan-Woods	Marlene		X	AZ01	2024	4/30/2024	30020903
Hon.	Gallagher	Michael John		T	WI08	2024	8/22/2024	10059196
Hon.	Gallagher	Michael John		X	WI08	2024	4/26/2024	30020952
Hon.	Gallego	Ruben		P	AZ03	2024	8/13/2024	20025670
Hon.	Garamendi	John		O	CA08	2024	8/1/2025	10066795
Hon.	Garamendi	John		X	CA08	2024	6/2/2025	8221045
Hon.	Garbarino	Andrew		O	NY02	2024	8/13/2025	10066789
Hon.	Garbarino	Andrew		X	NY02	2024	4/27/2025	30022862
Hon.	Garcia	Jesus		O	IL04	2024	8/12/2025	10066088
Hon.	Garcia	Jesus		X	IL04	2024	4/16/2025	30022669
Hon.	Garcia	Michael		P	CA27	2024	3/12/2024	20024673
Hon.	Garcia	Michael		P	CA27	2024	8/9/2024	20025632
Hon.	Garcia	Robert		O	CA42	2024	8/8/2025	10072028
Hon.	Garcia	Robert		X	CA42	2024	5/15/2025	8220928
Hon.	Garcia	Robert		X	CA42	2024	6/2/2025	8221046
Hon.	Garcia	Sylvia R.		O	TX29	2024	5/14/2025	10066938
Mr.	Garza	Mauro Everett		C	TX34	2024	5/14/2024	10061162
	Gaughran	James F.		W	NY01	2024	5/13/2024	7960
Mr.	Gaynor	Michael Gregory William		C	KS01	2024	9/27/2024	10062979
Mr.	Gaynor	Michael Gregory William	Sr.	C	KS04	2024	10/10/2024	10063019
	Gehrig	Sebastian Kenneth		D	TX12	2024	5/16/2024	40003654
	Genant	Pamela		C	NC14	2024	5/16/2024	10061876
	Gendebien	Blake		C	NY21	2024	1/14/2025	10063223
	Gendebien	Blake		X	NY21	2024	2/25/2025	30022463
	George	Kimberly		C	AZ01	2024	6/30/2024	10061390
	George	Kimberly		X	AZ01	2024	5/17/2024	30021924
	Ghanim	Ahmed		A	MI11	2024	7/3/2024	10062393
	Ghanim	Ahmed		C	MI11	2024	7/2/2024	10062073
	Ghanim	Ahmed		D	MI11	2024	5/31/2024	8220501
	Ghanim	Ahmed		D	MI11	2024	6/3/2024	40003663
	Ghanim	Ahmed		X	MI11	2024	6/12/2024	30022274
	Giles	David Victor		C	AZ04	2024	5/11/2024	10060594
	Gill	Brandon		C	TX26	2024	8/13/2024	10060716
	Gill	Brandon		X	TX26	2024	5/14/2024	30021563
Hon.	Gill	Brandon		H	TX26	2024	8/12/2025	10066920
Hon.	Gill	Brandon		X	TX26	2024	4/29/2025	30022911
Mr.	Gillan	Dennis Martin		W	SC04	2024	4/10/2024	7925
	Gillen	Laura		C	NY04	2024	6/13/2024	10059315
	Gillen	Laura		X	NY04	2024	4/30/2024	30020989
Hon.	Gillen	Laura		A	NY04	2024	12/2/2025	10072780
Hon.	Gillen	Laura		A	NY04	2024	8/13/2026	10081681
Hon.	Gillen	Laura		H	NY04	2024	8/13/2025	10069029
Hon.	Gillen	Laura		X	NY04	2024	5/15/2025	30023885
Hon.	Gimenez	Carlos		O	FL28	2024	8/13/2025	10067730
Hon.	Gimenez	Carlos		X	FL28	2024	5/13/2025	30023570
Hon.	Gluesenkamp Perez	Marie		O	WA03	2024	5/5/2025	10067183
	Godfrey	Darryl		C	NJ10	2024	6/17/2024	10062271
Hon.	Golden	Jared		O	ME02	2024	8/13/2025	10066167
Hon.	Golden	Jared		X	ME02	2024	4/16/2025	30022694
	Goldman	Craig		C	TX12	2024	5/15/2024	10061257
	Goldman	Craig		X	TX12	2024	5/17/2024	30021808
Hon.	Goldman	Craig		A	TX12	2024	1/7/2026	10072616
Hon.	Goldman	Craig		A	TX12	2024	1/7/2026	10072617
Hon.	Goldman	Craig		A	TX12	2024	8/13/2026	10081564
Hon.	Goldman	Craig		H	TX12	2024	8/13/2025	10066977
Hon.	Goldman	Craig		X	TX12	2024	4/30/2025	30022932
Hon.	Goldman	Daniel		O	NY10	2024	8/13/2025	10066119
Hon.	Goldman	Daniel		X	NY10	2024	5/14/2025	30023756
	Gomes	Joseph		D	MD04	2024	5/7/2024	8220319
Hon.	Gomez	Jimmy		O	CA34	2024	8/13/2025	10065973
Hon.	Gomez	Jimmy		X	CA34	2024	4/15/2025	30022644
Hon.	Gonzales	Ernest Anthony Tony	II	O	TX23	2024	8/1/2025	10071965
Hon.	Gonzales	Ernest Anthony Tony	II	X	TX23	2024	5/9/2025	8220870
Mr.	Gonzalez	Diego Antonio	Jr.	C	IN01	2024	11/13/2024	10063104
Hon.	Gonzalez	Vicente		O	TX34	2024	8/12/2025	9115595
Hon.	Gonzalez	Vicente		X	TX34	2024	5/9/2025	8220887
Hon.	Gonzalez Colon	Jenniffer		G	PR00	2024	6/18/2024	8220521
Hon.	Gooden	Lance		A	TX05	2024	4/3/2026	9115722
Hon.	Gooden	Lance		A	TX05	2024	4/3/2026	9116276
Hon.	Gooden	Lance		O	TX05	2024	8/13/2025	10072145
Hon.	Gooden	Lance		P	TX05	2024	9/6/2024	20025806
Hon.	Gooden	Lance		P	TX05	2024	12/12/2024	20026382
	Goodlander	Maggie		A	NH02	2024	9/3/2024	10062866
	Goodlander	Maggie		C	NH02	2024	8/12/2024	10061242
	Goodlander	Maggie		X	NH02	2024	5/17/2024	30021802
Hon.	Goodlander	Maggie		A	NH02	2024	5/15/2026	10077953
Hon.	Goodlander	Maggie		H	NH02	2024	5/15/2025	10066503
	Goroff	Nancy		X	NY01	2024	4/30/2024	30020919
Hon.	Gosar	Paul A.		O	AZ09	2024	5/15/2025	8221135
Hon.	Gottheimer	Josh		O	NJ05	2024	8/11/2025	10066210
Hon.	Gottheimer	Josh		P	NJ05	2024	1/7/2024	20024248
Hon.	Gottheimer	Josh		P	NJ05	2024	2/15/2024	20024461
Hon.	Gottheimer	Josh		P	NJ05	2024	3/7/2024	20024612
Hon.	Gottheimer	Josh		P	NJ05	2024	4/7/2024	20024801
Hon.	Gottheimer	Josh		P	NJ05	2024	5/15/2024	20025020
Hon.	Gottheimer	Josh		P	NJ05	2024	6/8/2024	20025207
Hon.	Gottheimer	Josh		P	NJ05	2024	7/9/2024	20025419
Hon.	Gottheimer	Josh		P	NJ05	2024	8/15/2024	20025678
Hon.	Gottheimer	Josh		P	NJ05	2024	9/11/2024	20025804
Hon.	Gottheimer	Josh		P	NJ05	2024	10/3/2024	20025953
Hon.	Gottheimer	Josh		P	NJ05	2024	11/6/2024	20026154
